app,mean,std
Encrypted Videos,2.7843437591193987,0.6407051822162817
Netflix,2.187493166503588,0.44297136049883695
Youtube,2.0103364816727094,0.3964541687936027
SnapChat,4.774567013010729,1.734664991174134
Apple App Store,4.9133452515550475,1.4355897752236704
Google Play Store,5.481465245944213,0.8232443424910357
Apple video,5.260168754521341,0.9646140010241513
DownloadsWeb,3.8147108947250796,1.0166330012716533
Deezer,1.9109723322768712,0.4548824141278657
Web Advertising,2.0398360455919455,0.24357920266455485
Apple iCloud,2.012905264382985,0.576117480392666
HTTP_MP4,2.0536226169590557,0.5379740741001778
Twitch,3.7840856191067087,0.9701784458708265
DailyMotion,6.257327818281012,1.1862563043987657
HTTP,2.6529219219693925,0.37319299970353764
PlayStation,6.23950308025845,1.5122324543209886
Twitter,2.9450491198761406,1.186288505591531
LinkedIn,2.528859613070756,0.8308854977186676
HTTP Streaming,4.874177496663655,1.5549682657817632
Orange TV,4.178772307428595,1.1206965049364763
Molotov TV,4.81262610002212,0.9143982629477506
Apple Video,5.355386389146454,1.017024789709371
Streaming TS,5.6470326544641845,1.4403077218509441
e-Commerce,2.386386509268008,0.47114680195105524
WhatsApp,4.3693326266113575,1.9488813085941095
Apple Music,3.0718018706823234,0.7515582660608028
Pinterest,3.1116304285379988,1.027709386336855
Google Drive,1.6003371770741608,0.41242312647770546
Google,1.7922000026533833,0.29191978400279517
NewsPaper,3.8609055057669295,1.1377891339712185
Generic Clothes,2.920214846939975,1.1819274745223562
Silverlight ,4.307622232389816,1.192680098595124
Google Maps,2.7104040432855006,1.1207423940433423
Ads,1.7736451824086457,0.40184057446421106
Steam,6.028682062306698,1.5806630071235777
Microsoft Mail,2.685043753571229,1.8697701433763538
Icecast,3.343741407839902,1.5158391302465906
Apple iTunes,4.714926698253532,1.8655542849899056
Spotify,4.458161571614318,1.8716579238877358
Google Meet,2.0981644879179093,0.4988454376692194
MMS,4.690137477997234,2.38533104937252
Uptobox,5.27900303555757,1.0341464980770765
WeTransfer,3.5579804211241135,0.7562033007605022
