day_of_week,hour_value,total_traffic,norm_total_traffic
0,0,336201090.5633594,-0.4088976691140074
0,1,29572328424382.812,-1.1159084857002233
0,2,19111925713673.863,-1.3939402566699202
0,3,13802584153430.588,-1.5350596454259773
0,4,11727913616801.854,-1.5902032512153612
0,5,13761242343266.0,-1.5361584880817563
0,6,27057898070860.18,-1.182740666401465
0,7,56939287461669.01,-0.3885097136240632
0,8,74791755581106.83,0.08599910450641436
0,9,76801158326320.45,0.13940792817160289
0,10,78226768256503.78,0.177299858775295
0,11,82266313731225.1,0.28466876352114984
0,12,102489432780054.05,0.822188184061303
0,13,103698780500156.16,0.8543319836488589
0,14,87818982123830.44,0.4322556461201364
0,15,88824090747249.36,0.4589708824561127
0,16,94742828173863.56,0.6162876793459183
0,17,102462336750228.52,0.8214679864391858
0,18,106734252248229.19,0.9350131590477003
0,19,102305547551439.55,0.8173006154675512
0,20,106785963910450.53,0.9363876266876955
0,21,115859661323845.84,1.1775615308727356
0,22,116444477880755.44,1.1931056344322968
0,23,84643468549252.38,0.3478522357261581
1,0,370129673.5764103,-0.373920538081191
1,1,30332884882372.035,-1.0956933118885401
1,2,19738865528037.848,-1.3772765400139084
1,3,14587515058155.05,-1.5141966121790864
1,4,12968052186374.994,-1.5572410477245475
1,5,15489706290334.578,-1.4902168636958457
1,6,31315887604336.316,-1.0695656382975454
1,7,62071783263267.27,-0.2520907882081234
1,8,80533279144971.2,0.23860565405074508
1,9,80615355552733.56,0.2407871999850749
1,10,80657729327166.88,0.2419134716855232
1,11,84154509905175.64,0.3348559829524078
1,12,105062498907188.75,0.8905788714883757
1,13,106953897436576.0,0.9408512077720116
1,14,87968715334114.66,0.4362354727845228
1,15,90093109270187.61,0.4927006992790023
1,16,95571478055819.86,0.6383127390463708
1,17,104743723364421.44,0.882105992274396
1,18,108847283264028.17,0.9911763653490255
1,19,106674718806522.25,0.9334307927958967
1,20,108555135588468.75,0.9834112402513743
1,21,117598637776201.78,1.223782571887547
1,22,120386658820953.72,1.297886643213557
1,23,90804017125072.7,0.5115962404313156
2,0,503589231.1446091,-0.24795347278333152
2,1,33650866236466.773,-1.0075031859979786
2,2,21968900549284.227,-1.3180034313747138
2,3,16261412200812.193,-1.4697053435477527
2,4,14133407148037.863,-1.5262665515449936
2,5,16198496790078.236,-1.4713776006827233
2,6,32523067983705.996,-1.0374794454387928
2,7,65603319068578.43,-0.1582245020479983
2,8,81433974298263.44,0.26254563757712407
2,9,81529488263028.08,0.26508434641179096
2,10,84501274885718.53,0.3440728060821626
2,11,90184367735065.55,0.49512629925901197
2,12,111270101923852.56,1.0555735574418095
2,13,112493551561915.97,1.0880921782798738
2,14,97366652116483.42,0.6860274816895175
2,15,96943189960571.17,0.6747720896742182
2,16,99570167013197.31,0.7445956999536449
2,17,105855027918589.62,0.9116438582463965
2,18,110780313917587.95,1.0425552606756578
2,19,107084737287628.11,0.9443288593029787
2,20,108681623464010.66,0.9867732186584873
2,21,119560066353191.11,1.2759162684547563
2,22,120957717443294.7,1.313065068412659
2,23,87685210645454.5,0.4287000735416524
3,0,338847798.31367624,-0.3505923542610162
3,1,29046497553126.164,-1.1298847820636848
3,2,19327027787673.527,-1.3882229614349904
3,3,14325642336637.59,-1.5211570455912353
3,4,12651735186069.71,-1.565648580227351
3,5,15022165141369.816,-1.5026438511879048
3,6,30715691200611.465,-1.0855185297561527
3,7,62157154760826.375,-0.2498216605929512
3,8,80254238224528.39,0.23118889932061373
3,9,80830436020257.25,0.24650392093171505
