insee,norm_km2_total_traffic,norm_total_traffic
10002,1990132208181.2903,-0.06873277310021654
10003,1943383870002.804,-0.06892932372916714
10004,3929211972438.1543,-0.06058002666899736
10005,2613018097364.3774,-0.06611388613965853
10006,4539122909267.226,-0.05801569212987621
10007,1185592556390.2593,-0.07211541258509993
10008,1687221573040.5774,-0.07000634298895611
10009,1350899962441.2866,-0.0714203873522142
1001,5726258168638.83,-0.05302445199235383
10010,688874473491.0736,-0.07420383445011297
10011,1695895421734.3005,-0.06996987430402309
10012,1676888516483.4968,-0.07004978771543008
10013,2367768987120.1265,-0.06714502154994928
10014,3118821913507.0625,-0.0639872638454309
10015,1745611863730.5793,-0.06976084445773752
10017,1328140980271.7478,-0.07151607614959177
10018,933895951428.2604,-0.07317365610642322
10019,1718623869224.4883,-0.06987431388790283
1002,5000108136603.438,-0.056077506947251506
10020,6310568160398.736,-0.050567755115899164
10021,952310361023.1796,-0.07309623380803441
10022,1787642533710.3792,-0.06958412898630827
10023,3130423808964.2173,-0.06393848436068393
10024,1234941549801.601,-0.07190792765470422
10025,782095522076.3467,-0.07381189205291129
10026,956621218737.5973,-0.07307810906118566
10027,314888149854.1696,-0.07577623787650016
10028,289571880447.1689,-0.07588267863714562
10029,3048820788183.8555,-0.06428157944563459
10030,28631307929691.223,0.04327847795332781
10031,2393176219840.0586,-0.06703819833942294
10032,1352365144942.2163,-0.07141422707885892
10033,10489592203941.318,-0.0329972951559768
10034,4519722212453.809,-0.058097261214668024
10035,1553613805784.8425,-0.07056808896132709
10037,2055840761148.0015,-0.06845650536715335
10038,1828343675707.623,-0.06941300343681767
10039,16885112743709.623,-0.006107706487422135
1004,70156981824686.98,0.21787072314709058
10040,1951589854323.6848,-0.06889482215237804
10041,1170420240603.6309,-0.07217920369140864
10042,861562229723.0889,-0.07347777897045334
10043,481667435735.1946,-0.07507502421173433
10044,2983062325306.635,-0.064558057021971
10045,1492250356047.4807,-0.07082608796429503
10046,2940572724675.654,-0.06473670204023868
10047,2940191413215.2534,-0.06473830524177028
10048,2140185574416.7456,-0.06810188257749615
10049,5891699698140.632,-0.05232886284533481
1005,9379564539781.297,-0.03766434096004841
10050,1690149968531.8145,-0.06999403072293671
10051,2517732584832.5063,-0.06651450845368635
10052,479768384156.7329,-0.0750830086620207
10053,11174685934405.59,-0.030116858998037836
10054,1527175792963.6572,-0.07067924602595618
10055,3324007671944.1465,-0.06312457243341668
10056,2903688195028.556,-0.064891780868346
10057,10262543914144.842,-0.033951906290842646
10058,516662721447.1636,-0.07492788859825579
10059,1381530804488.5244,-0.07129160178455007
1006,3471134374228.9434,-0.06250598689655552
10060,38586349273498.484,0.08513386177219216
10061,1733437245488.0781,-0.0698120319216354
10062,3033368638851.8438,-0.06434654709557007
10063,3035172775948.0444,-0.06433896170762286
10064,3190553642169.7246,-0.06368567202562052
10065,1080027750174.2472,-0.07255925358277532
10066,3068623260032.2275,-0.06419832112141965
10067,10559204167802.662,-0.032704615762172574
10068,2904171076947.646,-0.06488975061981517
10069,5550937844863.664,-0.053761575946883855
1007,9904809956844.43,-0.03545597760212497
10070,5573048850096.681,-0.05366861153029462
10071,1737966345624.4219,-0.06979298958740354
10072,1062071374049.403,-0.0726347501064707
10073,1872543919259.5422,-0.06922716612134497
10074,1254942431685.7285,-0.07182383512720339
10075,564300869356.4496,-0.07472759681680545
10076,1920886748876.8977,-0.06902391154724084
10077,4446679567611.645,-0.0584043647041895
10078,3415267353009.102,-0.06274087649020124
10079,578045662000.2982,-0.07466980764730323
1008,49068077130450.41,0.12920366795240637
10080,502241476785.4718,-0.07498852187034524
10081,107867941050968.1,0.37642422564715
10082,3035464047772.3374,-0.06433773707242744
10083,1651014926303.4966,-0.07015857169837451
10084,2431593426330.246,-0.06687667546198199
10085,6002824477851.75,-0.05186164526722913
10086,525944541010.80426,-0.07488886373568049
10087,698760496330.9264,-0.07416226925052076
10089,1468406679527.8464,-0.07092633729505275
1009,6486742080458.117,-0.049827042266168374
