app,LN-2019,C5-2019,C6-2019,LA-2019,C52-2019,LN-C5,LN-C6,LN-C52,LL,LA-C5,LA-C6,LA-C52,C5-C6,C5-C52,C6-C52
Encrypted Videos,3.97955835092943,3.7770466813614454,3.9625657563739614,3.926366888014609,5.073514185843479,2.6670568226120523,2.368385683363358,3.8263737389922103,1.8897240104748818,3.0220105779319586,2.063470686653126,3.4100034125568066,2.733896427200538,4.174587373978387,2.6970106603535253
Netflix,2.9715235370992756,3.046127774248681,2.974891893322022,2.9396393605452684,3.057284227558279,1.2130564621111726,1.482545942009485,1.551945794844545,1.2212586651662927,1.5127434130988529,1.9724143683703668,1.2561451406528015,1.6492824008536933,1.7240252305848958,2.0058533473192472
Youtube,2.5639781947999447,2.7950656896068145,1.9767077027180036,2.5315431644897983,2.3681419920185642,1.261961020443436,1.4802250869258176,1.4603534215752974,2.0845955825614593,2.0579992884757616,2.18838226661863,2.1110751400573067,1.8744191469859446,1.9593106092509203,1.1614911970408468
SnapChat,2.41759807914402,2.600292296259004,2.066829061546016,2.3945401229414376,2.1601019272403206,1.1906325880733077,1.4743505781680963,1.2785839809531787,1.8131957420849545,1.717655725323096,2.033021118878354,1.7805842932493074,1.6040512294064633,1.3014575576030503,1.511074314737765
Apple App Store,4.136844145222165,4.325771634680701,3.765256208715301,3.496923750868593,3.33895856830801,2.9345508434287018,2.505035254600183,3.0918424161623315,3.277016092370018,3.568253940447988,2.7486046701208546,2.9191933602983453,3.0034330683594637,3.3509304818897383,2.7575520234490436
Google Play Store,3.9385230369397872,5.205978572194875,5.095145822912201,5.060922416486853,5.3340933104517,5.005440122503609,4.090644445042983,4.811762097603879,4.03471551215827,6.253118179335406,2.4454467472228334,3.107022448661365,6.989035767910226,7.719023979346879,3.3437390724215645
Apple video,6.036354914532677,5.820622230765279,6.4759091065566015,6.52272906504307,6.620185853634483,1.8029477767849533,2.9861621821972824,2.582363593581726,2.7533033460766423,2.792513526498535,2.7526566107673034,1.874111206579288,3.4131113066626844,2.91917741034214,2.970064929296777
DownloadsWeb,2.4054349204159053,2.1863984534351006,2.4619438473738557,2.680242830840444,2.9135466854123475,2.5233480129235972,2.425659198292754,3.142389187805009,3.001157242656841,2.5589086802465992,2.7122933504383027,2.236856371921222,2.2796911761024337,2.7917850244988625,2.1899644496592807
Deezer,1.76376099160987,2.315936188351925,2.0474315596397306,2.6222849401590063,1.989377475108395,1.8268109615654518,1.9429090248319731,1.8721184525972265,2.303075317378704,1.8439120608340256,2.4715974203041235,2.0771782738013522,2.1607574338209354,2.0345948711642885,1.4401677971011027
Web Advertising,1.8845251800797782,2.261819118366915,1.7756596852525794,2.0470328186725415,2.023794429672862,2.0390679323703966,1.0889824531538164,1.2355766744069172,1.3402693239982275,1.7842975180293403,1.3087287681482462,1.6192105473862168,2.037190621147517,2.207921435432134,1.2990195686051897
Apple iCloud,1.7752402342008897,1.6482877783753402,1.3839241425174373,2.075229398575811,1.378455341895142,1.0120927768937569,1.177758393656572,1.2747714235528524,1.1966906188144149,1.2023929263209432,1.6154228662234855,1.6564005202558485,1.3361212979497634,1.2546390676152313,1.0060390454816706
HTTP_MP4,4.959785136527326,4.96146966820947,5.325155711049024,5.695821319372642,5.920406329066087,1.4688427232534187,1.8588147568520732,2.2829821271784505,1.9615945557361614,2.0026307277303865,2.2571423602941363,1.7966063058499393,1.7805005690452338,2.0143983795962366,2.3155540338889
Twitch,2.702135524382934,3.1036487216657136,3.374105652287374,3.1771235136969946,2.9596820529197316,1.989136959512947,1.8914082244078316,2.4074352150605463,2.124420256885734,2.203850122179818,2.183565739059603,2.3357292791290636,2.2690633786326564,2.160349853836566,2.0208634788275788
DailyMotion,4.3062778044375545,4.735103927298459,3.698991858135629,3.2928583232155724,3.0767722950684413,4.922891109591605,3.6657168223999497,3.574598111605205,3.508116285089115,4.634097864191791,3.6500086383919697,2.2152046244838486,4.056272978564859,4.949585828869385,3.453126485941324
HTTP,3.0968405857260013,3.0629067812672885,2.7631779705294894,2.690955600159868,2.786332556451844,2.213604630139037,1.8641759540875746,2.2750317766414585,2.400424263867031,2.69303832099907,2.614915051555414,2.39419062069318,2.311108461891115,2.38083712085264,2.055800562880474
PlayStation,2.688753193377123,3.609958531778156,4.995844498007429,4.092974045782943,5.534628044436144,2.8422774225089005,3.7912722835002337,4.590019555571926,3.1863498697077905,4.598413667733098,3.9334371502675674,3.780431000180578,4.465560140137639,4.931158966682701,2.2894846117103054
Twitter,1.913415607153579,1.8839921360243457,1.615770517157372,2.2044899519976853,1.7720480305999113,1.6951460430594982,1.7861829936165226,1.3519104112994536,1.9133337269477104,1.7647276071150215,2.407607589713059,1.850704695289282,1.8673108692544926,1.4543277451101784,1.4889878106495695
LinkedIn,2.0958932859762522,2.239134401776898,2.122349327061271,2.023366783951707,2.26416050388984,1.072245805515509,0.9723086324411978,1.2214159864585272,1.202204039858146,1.5741544841481472,1.1772844424970832,1.1102179352372594,1.4198220139208706,1.5842942198690972,1.0261244981502933
HTTP Streaming,4.7685931262596215,4.56237402284184,4.395567533547203,6.112293679975067,4.809802522277068,2.88068724102924,2.7794463234112277,3.5930054639029785,2.6821857064111985,4.188300065342001,4.169536119062877,4.75397541541418,1.963431770911363,2.2409715891032604,2.500323898499313
Orange TV,3.726005988887221,3.5305574246353135,3.2103421512110932,3.039859626142832,3.390284627966199,2.2332050917950226,2.3496615299160712,2.681283805336693,2.6447815680183218,2.453531433566864,2.4708345011617054,2.016559037803838,2.3070995166938233,2.4397271658011297,2.195444174718888
Molotov TV,3.14201164558854,3.1665134790068405,3.1205199513568833,2.772221528322826,2.885067814730837,2.1229818659314836,1.5759915896832541,2.7380595939359593,2.258685413803304,2.123544151101624,2.214341358954616,1.9006597873462838,1.8065825447637716,2.626531283762315,2.5642781885425627
Apple Video,5.071350502709025,10.48275537867009,10.467187255126357,13.199396303897833,inf,9.689325466149578,10.225645888740885,inf,13.167585948460424,5.302633107809143,5.053595175960221,inf,4.151017741333356,inf,inf
Streaming TS,4.419957100313252,3.6779805227431557,2.9681740981767284,4.478511736828654,3.2890793344703506,4.226627326711249,3.861316146517564,5.232479507067388,2.584818231323031,3.5350126933523076,4.355477575715039,5.416738015939735,3.515294370608996,4.731568699202097,3.2083743093914108
e-Commerce,2.199449684041889,2.397287863027808,2.340929146336494,2.337891230742968,2.0395286428032358,1.6522345287450668,1.457014913474342,2.019293737738578,1.7378454538978327,1.4689988853782605,1.5905604138418137,1.4208324737846112,1.8029675302923789,1.8519418968479644,1.631407759681266
WhatsApp,3.0864056700153557,3.0130168926495466,3.5500554360042553,3.3888067534741255,3.3733607219591923,1.5986199927274733,1.3910343321772383,1.956961093799178,1.6181776135145358,1.5353071385047188,1.4889497563235632,1.3854114934879744,1.6718890589464364,1.351981468734546,1.7626054408034715
Apple Music,2.202065161260267,2.629317987809684,2.46661423366764,2.917451499356771,2.399191170619143,1.8743251513020682,2.049121109673771,1.9167022766842825,2.67172585298342,2.1046341447675805,2.455501913897924,2.1240958836996313,2.016249678096403,2.058817825202937,1.418777501959038
Pinterest,1.8940251767109149,1.9528966862819832,1.9084760292731344,1.98524572507629,1.7052019606232587,1.4990904828587552,1.1137720503848472,1.3364965924784673,1.8862972550190142,1.5497852836515884,2.1336736654149746,1.6373836374158808,1.7865514936616684,1.5095161639927301,1.422653592353948
Google Drive,2.394704500995255,2.4144932005008246,2.1949846663266217,2.2470560517811125,2.192940448443989,1.30659516203474,1.170029819001702,1.542997744934832,1.0693695069669031,1.4301555631310825,1.1218715169949285,1.5392638152550733,1.667156397318673,1.898218165099927,1.2188691012950397
Google,1.9902400455748739,1.7081601366740669,1.6729176903773642,1.8932589857010924,1.8769553093824825,2.4365331287956398,2.0282372132687665,2.481798392949295,2.184467083181064,1.6039795614198789,1.999927231354674,1.400427645955282,1.603227714907279,1.5230949371670595,1.3579820783697916
NewsPaper,2.4543852451360197,2.898188658095054,1.9682196025829848,2.148506085957902,2.8549329517765694,2.775154354123729,2.124007812640295,2.334901583119856,2.06319509501782,2.528491914689295,1.9576095041603083,2.3735561486869154,2.511473238344621,2.570579786595453,2.3291424224305555
Generic Clothes,2.0510095853975234,2.0705046008398127,2.402558128866378,1.9176224886592899,1.8510290056336818,1.2346289540492148,1.3741096228366685,1.340113713826788,1.345267730381874,1.6073583125581854,1.7461743821900122,1.2795524865101207,1.7699068698837475,1.5864069353646966,1.6356059637425828
Silverlight ,3.560412543521294,3.688353810009802,3.789653145922723,3.7135354825645512,3.656292121569168,1.8424051670665675,1.7752024044454924,2.3250806406197073,1.9518909794882224,2.2235664134455555,2.304842307559345,1.35315444691236,1.5547960843175568,2.4848785380825804,2.57697958803542
Google Maps,1.8668264031357829,1.279570877472715,1.3303913668536196,1.7131226504015282,1.6220669494961042,1.8575711952675145,1.709000717927656,2.1634921622859125,1.940749247959759,1.7092182259952577,1.3512549801949114,1.2817154031882827,1.301780297477223,1.662982362166642,1.3120972137913216
Ads,2.1121319069576465,2.1792765562801275,2.3410659461365952,1.9015165574223405,1.7449719096992007,1.2387367922141677,1.341830731231409,1.463632857207285,1.0250207434677403,1.3116515284280685,1.434819277346841,1.0889460927535144,1.6207334426809084,1.627399709644762,1.690014465196636
Steam,3.052229395821376,4.554774567146086,4.172676813143191,3.4394566119804586,3.45675580782343,3.191156973807437,2.779253717018934,3.306644066746993,2.526672687469353,3.4905140823484926,2.287646363077198,2.896540009468439,3.34350169348589,4.504700931726536,2.9398349846272964
Microsoft Mail,1.536029956935017,1.606611144094444,1.5819210846657383,1.7030345691963884,1.6734041013431418,0.9185626283402701,0.5812760946313293,0.7514060532596705,0.8989352745389103,1.1022366529573797,0.6739341812024915,0.7610879732734988,1.0201765271879264,1.2012276914357847,0.5997425094135629
Icecast,2.5283507368118654,2.5374736928063597,2.462117319969928,2.0689366747442786,2.5379927255695067,1.302055732059544,0.6235303924703804,1.2029544140371655,1.38649674619892,1.449466112131276,1.3171569586012601,1.6860364337456037,1.2721857063510296,1.5595060153103792,1.0802374566801425
Apple iTunes,5.002119002076575,4.0539394210961435,5.524196920455784,5.078023728888852,5.504507006530933,4.572459208320648,2.9124836994344236,2.5871278919777563,2.1965546065075996,4.669890030154836,2.585289215949356,2.016854481709746,4.409462329295899,4.988204832721096,2.655595341318467
Spotify,3.85248105788923,3.3644931692021713,3.356906005513285,3.4614655570552424,3.8715666643442272,1.7553720823469374,2.021509224990841,1.804110978170835,2.98717823196788,2.38742023271231,2.8901549096006356,2.7238894448077744,2.0304544928644552,1.967323509509775,1.5525599388284812
Google Meet,2.073391246675783,2.4159755560525698,2.358112694391992,2.0956638378119576,2.3186709170443045,1.5073543506436275,1.883477911966488,1.9527628072125252,1.9131736178325969,2.365264806629857,1.748383366424284,1.2996245947820309,2.173653264981939,2.4494561167555284,1.862448817812963
MMS,1.815997386250847,1.728535055817456,1.7418984299341747,1.7534875495894588,1.1837413746870524,1.0693490670097547,1.1641761675415723,1.6662917708594045,1.4302020225963488,1.434500217289991,1.3217460251425988,1.2782513587984885,1.481331658586698,1.6801203060490535,1.54564279752306
Uptobox,3.5450033806473784,3.8633592746660823,3.3656207076657285,3.1939832695098205,3.2448140481287826,2.8673780510872806,3.240081439797873,3.380689227194069,3.0057651490868658,3.5828067392568097,2.4316305104814564,2.808489815007512,3.7038576653522384,4.056682599638279,2.4385351081501794
WeTransfer,1.9392041137038063,2.07816308196075,1.7632735903540178,1.9966555494110332,1.5089304200139604,1.6130896949809141,1.1985056203301563,1.6940390602607227,1.7119262006316514,1.6719912162434494,1.7477664595743465,1.661541167458332,1.6864277053525965,1.8415087487209052,1.4432430717090865
