day_of_week,hour_value,norm_total_traffic
0,0,-0.33587540873302163
0,1,-1.0297969082139102
0,2,-1.41685703392821
0,3,-1.6422269472427133
0,4,-1.735370163249777
0,5,-1.70735488435273
0,6,-1.3962600019294042
0,7,-0.7514736179962427
0,8,-0.2219074783361943
0,9,-0.024016164795533156
0,10,0.05910849979663277
0,11,0.1366570372953385
0,12,0.6568963024090995
0,13,0.7100994784544788
0,14,0.36829505893103476
0,15,0.3262181472778312
0,16,0.45391073451392605
0,17,0.6724685575680468
0,18,0.8789638573448744
0,19,0.8819086896347615
0,20,1.1109267528898337
0,21,1.4879541345979321
0,22,1.1918908512767825
0,23,0.42246582456396453
1,0,-0.45307790275393506
1,1,-1.0882749226001078
1,2,-1.4374191130922889
1,3,-1.6283583979839513
1,4,-1.7058554514050517
1,5,-1.6731957597523524
1,6,-1.3209307703713484
1,7,-0.6386604574390953
1,8,-0.17128736782371382
1,9,-0.005761254553035561
1,10,0.08087315013363029
1,11,0.18469979729235148
1,12,0.7662261820142773
1,13,0.8195231670116577
1,14,0.45890046841320475
1,15,0.4627885760440521
1,16,0.5133517066496913
1,17,0.7899099114111686
1,18,0.9579296407555713
1,19,0.9702052286237595
1,20,1.2560504966963748
1,21,1.7297977565471399
1,22,1.4228274433871333
1,23,0.5362833543487016
2,0,-0.40521819591440383
2,1,-1.0664433749431481
2,2,-1.4048074226284364
2,3,-1.6017080942461497
2,4,-1.6902773808892537
2,5,-1.6609875976481752
2,6,-1.3011116348040626
2,7,-0.560459852088249
2,8,-0.1390407223236851
2,9,0.037300499554350754
2,10,0.22969246657077544
2,11,0.3351482408082801
2,12,0.931012282039805
2,13,0.8982876740453728
2,14,0.6097681223541688
2,15,0.5209249623892392
2,16,0.5462433359966956
2,17,0.8261682717459807
2,18,1.0076019292005396
2,19,0.9541015939940838
2,20,1.2457833286727968
2,21,1.8315996233213903
2,22,1.4617675863390895
2,23,0.5262067692991963
3,0,-0.4060070427622331
3,1,-1.070796792818087
3,2,-1.4281155792005886
3,3,-1.611833214232206
3,4,-1.687807287884429
3,5,-1.6557452262549053
3,6,-1.3179296859412577
3,7,-0.6056208100268141
3,8,-0.12427428627951746
3,9,0.04911881062661146
3,10,0.12455239994808968
3,11,0.20791093633578492
3,12,0.7319261772836942
3,13,0.824773100129419
3,14,0.5207232703763075
3,15,0.35702637542656523
3,16,0.48231520686577956
3,17,0.7379033232452434
3,18,0.9285290089604121
3,19,0.8932013983722754
3,20,1.1235098414893658
3,21,1.4621114851088526
3,22,1.2478615889193063
3,23,0.41240340439070405
4,0,-0.4108963597841843
4,1,-1.0491009610469666
4,2,-1.4147254517266192
4,3,-1.604467491467774
4,4,-1.6839597370235162
4,5,-1.6455055419562075
4,6,-1.3004240570906667
4,7,-0.5730618116177619
4,8,-0.14786245176089624
4,9,0.05348379604220807
4,10,0.14899541606797517
4,11,0.2093639048197352
4,12,0.6284094486733244
4,13,0.7514654019418658
4,14,0.47549511234980557
4,15,0.4168518188237273
4,16,0.5344040002471846
4,17,0.7565756065035554
4,18,0.8654744031675514
4,19,0.7885520399294552
4,20,0.9140709634277804
4,21,1.2665171028402216
4,22,1.140233433153248
4,23,0.6262780415598804
5,0,-0.1981863907003275
5,1,-0.8878594344252076
5,2,-1.2839921946243589
5,3,-1.523516135852148
5,4,-1.6506677058790418
5,5,-1.7065576465939623
5,6,-1.5778900467886754
5,7,-1.1660168378328393
5,8,-0.5733896943664261
5,9,-0.12198276118074203
5,10,0.12170259390032462
5,11,0.2397972555792972
5,12,0.23751058777943604
5,13,0.3901439215865574
5,14,0.5698477130235344
5,15,0.5256913230706545
5,16,0.5426057798394758
5,17,0.7116185089869044
5,18,0.9133142993123403
5,19,0.8028128692950566
5,20,0.8163307203026793
5,21,1.2049608643540495
5,22,1.1725293111926123
5,23,0.67509155548937
6,0,-0.02507729275807287
6,1,-0.7006804724267552
6,2,-1.1698824342802345
6,3,-1.4685459192456711
6,4,-1.6432252544176142
6,5,-1.7341126661823372
6,6,-1.6632471904013935
6,7,-1.3692407413902574
6,8,-0.8069583872629318
6,9,-0.2578874603082306
6,10,0.06371482632940347
6,11,0.24053239731347598
6,12,0.18588768096524944
6,13,0.33941342725446433
6,14,0.5827767302385608
6,15,0.6330119952653485
6,16,0.8001363562204546
6,17,0.8915635786995657
6,18,1.1066648743878138
6,19,0.9779412069185233
6,20,1.1186274507017122
6,21,1.4356783253029413
6,22,1.2444759111509338
6,23,0.555509910449007
