day_of_week,hour_value,norm_total_traffic
0,0,-0.6878922759585047
0,1,-0.7432929722952745
0,2,-0.7701396229189289
0,3,-0.7811732174880041
0,4,-0.7814025458356105
0,5,-0.7722513401071607
0,6,-0.7520183068499142
0,7,-0.709693585009128
0,8,-0.6720105717829495
0,9,-0.5584819304407771
0,10,-0.3631992229879424
0,11,0.4113764738913677
0,12,0.7962829446280417
0,13,0.04989263268705212
0,14,-0.25512243315016225
0,15,-0.3165256538917331
0,16,-0.25817032841521126
0,17,0.008281354900570932
0,18,1.0283620462429797
0,19,2.074771686182654
0,20,1.1544502335596463
0,21,0.08829721480010704
0,22,-0.4159831813708722
0,23,-0.5957117219158365
1,0,-0.7023713332146717
1,1,-0.7418424462330241
1,2,-0.7693346971626898
1,3,-0.7806003811799803
1,4,-0.7835416887982127
1,5,-0.7743478336901408
1,6,-0.7497690952907274
1,7,-0.7094136304800568
1,8,-0.6378104500211781
1,9,-0.5583705244496949
1,10,-0.30525521688643065
1,11,0.5718734334298743
1,12,0.85071226196455
1,13,0.03488580470288373
1,14,-0.27424219198208616
1,15,-0.3378888820114178
1,16,-0.24740267103371125
1,17,0.057644601181270703
1,18,1.2207754645321378
1,19,2.454230444141074
1,20,1.5806229501197882
1,21,0.3783821881854633
1,22,-0.43015352866212175
1,23,-0.5869524971589583
2,0,-0.6569402582073253
2,1,-0.7274742143696932
2,2,-0.7618235429443309
2,3,-0.7756397662859357
2,4,-0.7804235100571948
2,5,-0.7741066801707926
2,6,-0.7487185289506009
2,7,-0.7034608695145446
2,8,-0.6412012234431981
2,9,-0.5508606230147975
2,10,-0.2855049078844545
2,11,0.6461929382177836
2,12,1.0628864388058756
2,13,0.15186170692927067
2,14,-0.23628955489812115
2,15,-0.3139852099834332
2,16,-0.25162183887882755
2,17,0.11467724680401335
2,18,1.4573200758327236
2,19,2.6348563288315816
2,20,1.7153233074376677
2,21,0.21458094112928255
2,22,-0.40864869837024786
2,23,-0.5457137906970675
3,0,-0.6625617537910158
3,1,-0.7200846260957837
3,2,-0.7514708529999685
3,3,-0.7717864145894724
3,4,-0.7796069886931666
3,5,-0.7729664272935659
3,6,-0.7487471507827319
3,7,-0.7027822645026549
3,8,-0.6262776082237901
3,9,-0.512199042394683
3,10,-0.2889773070495041
3,11,0.6910175088587358
3,12,1.095082070088266
3,13,0.20824664108613913
3,14,-0.21365875506470386
3,15,-0.3013927783626251
3,16,-0.22878781508280338
3,17,0.11339224527162725
3,18,1.5541062770497067
3,19,2.731569274185169
3,20,1.846406729475797
3,21,0.33068933480563173
3,22,-0.36218457707043283
3,23,-0.536969517070147
4,0,-0.6324551616617199
4,1,-0.7046192275644427
4,2,-0.74098381915697
4,3,-0.7633272779447524
4,4,-0.7741007522630153
4,5,-0.7668085076966957
4,6,-0.7469384287371144
4,7,-0.698581371593956
4,8,-0.6194642199572635
4,9,-0.5268595120548522
4,10,-0.24402290608434934
4,11,0.7100221550233973
4,12,1.1136883532316881
4,13,0.26128372065296135
4,14,-0.16226255658204874
4,15,-0.2641417997579298
4,16,-0.1897420836417943
4,17,0.20158182641332192
4,18,2.0816652217035645
4,19,4.279540455172582
4,20,3.454392913659981
4,21,1.2309287208679214
4,22,-0.18341088307009648
4,23,-0.45310880210197724
5,0,-0.556430481235846
5,1,-0.6103242489584724
5,2,-0.6514948910285475
5,3,-0.694121658035502
5,4,-0.7273991135255948
5,5,-0.744814581344358
5,6,-0.7383721811438989
5,7,-0.7210053803355747
5,8,-0.6654678141555025
5,9,-0.5728646391112422
5,10,-0.4025977867405071
5,11,0.17347759472682156
5,12,0.704891642764494
5,13,0.417568814885507
5,14,0.03124304656557249
5,15,-0.1254973264563772
5,16,-0.07016420546440597
5,17,0.3265094327202765
5,18,1.8310134129852889
5,19,3.2767719294271114
5,20,2.608731609791257
5,21,0.6295684401962279
5,22,-0.19931593561850355
5,23,-0.4465606012535328
6,0,-0.5301169994445653
6,1,-0.5784685177778879
6,2,-0.6212174550227788
6,3,-0.6662484820827517
6,4,-0.7075823992419179
6,5,-0.7377553619667415
6,6,-0.7337302823802008
6,7,-0.735948613974004
6,8,-0.6912446537037781
6,9,-0.6002532555935857
6,10,-0.4388186815469063
6,11,0.05611295292210352
6,12,0.4757427312902262
6,13,0.2574678654485121
6,14,-0.03290694037004601
6,15,-0.1458661189516086
6,16,-0.06401293657871734
6,17,0.39412004450496385
6,18,1.9926705592662752
6,19,3.05333043419198
6,20,1.7863907545542212
6,21,0.29920405804935213
6,22,-0.39537836338623406
6,23,-0.5957016837295539
