insee,norm_km2_total_traffic,norm_total_traffic
10002,55281097790020.46,-0.06188079163843969
10003,27694642774727.676,-0.06896484460662514
10004,53433217814126.945,-0.062355317256929714
10005,94602329873753.69,-0.05178331116474125
10006,82580241513597.19,-0.054870518661476235
10007,41402249542881.47,-0.06544480506697326
10008,69300941342804.13,-0.058280571375323775
10009,127276017084489.23,-0.04339288438687286
1001,152116613929373.22,-0.03701395299779271
10010,49408706201519.52,-0.06338879014857106
10011,29373236521283.617,-0.06853379077944528
10012,74831887186374.3,-0.05686025429223732
10013,158331877668371.1,-0.0354179067673548
10014,86741101732783.97,-0.0538020321825287
10015,51813361766447.32,-0.06277128755961038
10017,226489840045368.47,-0.01791530937256169
10018,38988462790209.25,-0.06606465249573332
10019,32143682200083.734,-0.06782235526070172
1002,306716425142061.2,0.00268644529169476
10020,115828451790351.0,-0.046332557456699376
10021,35960292947127.21,-0.06684227019083633
10022,132098970817305.38,-0.042154375862039316
10023,81444532116025.72,-0.055162162713762126
10024,74216811156679.02,-0.057018202501654125
10025,27000336413923.234,-0.0691431387380516
10026,109368763164049.73,-0.04799137068084634
10027,18454459903496.76,-0.07133767376714006
10028,5610754978091.027,-0.07463586796965287
10029,126434217211357.53,-0.04360905405733508
10030,252558675864711.53,-0.011220972834547602
10031,100721421958914.47,-0.0502119612966827
10032,125548818983074.23,-0.04383641955042288
10033,119938124149399.22,-0.04527721574435373
10034,75411893410400.75,-0.05671131181990433
10035,45056079418485.81,-0.06450652124757092
10037,56201080237107.17,-0.06164454510435801
10038,81772672174393.95,-0.05507789811531425
10039,70282541504141.414,-0.058028501744316896
1004,324227843743260.06,0.007183283209078188
10040,37906394252564.84,-0.06634252186429229
10041,87782260490073.03,-0.05353466822507794
10042,19122485671414.43,-0.07116612835032525
10043,55577286116980.25,-0.061804732072410704
10044,380930157691131.25,0.021744131828544674
10045,28753803171609.266,-0.06869285792514854
10046,368188402978523.3,0.018472117891208287
10047,292591643424441.7,-0.0009407225265770892
10048,16892707830507.299,-0.07173872328227703
10049,333247741039452.8,0.009499544221172714
1005,119072566220547.11,-0.045499486355478715
10050,66417570193002.21,-0.05902100554639836
10051,56885309178724.086,-0.06146883879986573
10052,78798600342515.94,-0.055841623732706284
10053,151861752939680.3,-0.03707939992634906
10054,95620446293743.5,-0.05152186435532014
10055,42795146378784.83,-0.06508711666665914
10056,146836861868710.06,-0.03836976487126069
10057,401829890057054.06,0.0271110704590799
10058,25779882630106.86,-0.0694565446919875
10059,150979376903760.72,-0.03730598933672625
1006,188667616919768.4,-0.02762785242485847
10060,389825076021089.56,0.024028298915695856
10061,107509917186887.06,-0.048468712309360014
10062,74602695501926.27,-0.056919109481553876
10063,83912621619653.1,-0.05452837063122646
10064,63643660086624.39,-0.059733330711472014
10065,218765603329613.78,-0.019898851730681833
10066,96766582302258.28,-0.05122754280553919
10067,380422625241498.75,0.021613800230871963
10068,185546566379445.5,-0.028429321382423864
10069,96740391912795.44,-0.05123426835639774
1007,169797845594265.66,-0.032473508000875936
10070,147133110943336.66,-0.03829368970555827
10071,56969941968308.94,-0.06144710555563656
10072,24087052444449.42,-0.06989125436000003
10073,367717047696628.25,0.01835107639523037
10074,37962978979403.72,-0.06632799121140867
10075,79805963859275.95,-0.05558293821088083
10076,15034388689752.975,-0.07221592962204046
10077,177412742899494.53,-0.030518043414083994
10078,128474543046572.95,-0.043085109379375895
10079,41917370605110.57,-0.06531252475448526
1008,641222063460575.2,0.08858569036292266
10080,14791383346516.035,-0.07227833208448402
10081,781782711557649.6,0.12468090722968406
10082,65851734780351.234,-0.05916630903074502
10083,149857724364969.28,-0.037594023663438156
10084,43843166700807.89,-0.06481799069636573
10085,524377724901516.44,0.05858069396428766
10086,60976356392070.8,-0.060418279924554286
10087,27552877470280.805,-0.06900124917274993
10089,49801493404517.65,-0.06328792451180397
1009,175872286478914.78,-0.030913624320457023
10090,98848593097597.19,-0.050692893654485226
10091,53293846030862.555,-0.06239110717971494
10092,77085464675879.98,-0.05628154773879583
10093,121811101862225.36,-0.044796245162285975
10094,28569318436528.215,-0.06874023261081985
10095,60395111642671.25,-0.06056754044352795
10096,55621500308081.32,-0.06179337810643241
10097,84645502753498.42,-0.05434017070598539
10098,5947397823447.514,-0.07454941990133296
10099,14113816423549.701,-0.0724523276184924
1010,66989863335754.15,-0.058874043751766296
10100,137360010916167.48,-0.040803369119512004
10101,186902235530951.88,-0.02808119285082086
10102,34259629246468.945,-0.06727899146328162
10103,36478829128347.516,-0.0667091128941975
10104,297293960534697.25,0.0002668071637650975
10105,299575667673741.1,0.0008527372596006515
10106,211158454787939.62,-0.0218523264767556
10107,241593456506161.72,-0.014036782067762881
10108,42742274445851.02,-0.06510069389407838
10109,185772962702913.47,-0.028371184026741138
1011,153244126126805.56,-0.036724413942322995
10110,145148936512276.97,-0.038803215005563434
10111,113667993445134.5,-0.04688735151576161
10112,62466228954527.63,-0.06003568868032086
10113,144204256793770.84,-0.0390458036658374
10114,116720615541180.72,-0.04610345461388506
10115,201215050100977.75,-0.02440573920947144
10116,252249222410984.9,-0.01130043881363669
10117,164875513254109.72,-0.03373753641646418
10118,122771092394413.02,-0.04454972476757764
10119,13193876579265.58,-0.07268856321240398
1012,70385269753061.19,-0.05800212168365766
10120,41630012282092.805,-0.06538631682309205
10121,22165057745799.44,-0.07038481223984579
10122,82201336596905.5,-0.05496781940193969
10123,107947106473174.12,-0.04835644445691345
10124,59909344316480.516,-0.06069228287480596
10125,90599193700657.67,-0.05281129495872096
10126,93934471779958.55,-0.05195481352374509
10127,72382695410672.94,-0.05748919354009264
10128,59256478086381.17,-0.060859935404012744
10129,85998948814880.55,-0.05399261305194474
1013,20717158398687.16,-0.07075662498859725
10130,73000361324269.78,-0.05733058026244833
10131,63144615856237.03,-0.05986148258019061
10132,58747416458511.24,-0.060990659686415184
10133,25226603845944.277,-0.06959862370181345
10134,94450393799674.72,-0.05182232752969125
10135,47617142202293.56,-0.063848854127773
10136,62851978468289.445,-0.05993663028421938
10137,24469934290864.91,-0.06979293236541753
10138,315930175974618.7,0.005052486847136254
10139,39066634051835.06,-0.06604457853705903
1014,196967120689069.25,-0.02549658458784248
10140,26274347891151.49,-0.06932956867791734
10141,25362673477900.023,-0.06956368175368705
10142,45020370809848.99,-0.06451569102581402
10143,12335488270386.438,-0.07290899270376124
10144,115146228273193.22,-0.04650774877899897
10145,5110738372526.26,-0.07476426953907632
10146,194275726986033.06,-0.026187719985267765
10147,1627404739377730.2,0.3418320864160274
10148,31531421455548.734,-0.0679795805200626
10149,86058250332910.42,-0.05397738474172567
1015,119354914964437.22,-0.045426980719792315
10150,276220806386488.72,-0.005144665245788422
10151,41794319759994.32,-0.06534412354831724
10153,181652454534474.5,-0.029429308316537738
10154,75834282418935.88,-0.056602844599017
10155,26735204905325.613,-0.06921122308050877
10156,85456642672278.05,-0.05413187434655613
10157,165667298198260.78,-0.03353421031020412
10158,99951770972794.61,-0.050409603521813354
10159,31357440536994.67,-0.06802425788226109
1016,246449333362367.03,-0.012789819062285202
10160,3644010622018.8843,-0.07514091732034221
10161,32569256813670.523,-0.06771306999360624
10162,228257369984223.6,-0.017461417210529198
10163,20360789445623.758,-0.07084813861506062
10164,215127220249992.7,-0.0208331688961276
10165,126158224896618.61,-0.04367992739627402
10166,130091746504165.36,-0.04266982024753324
10167,198332693246961.22,-0.025145912914854976
10168,532353110486478.94,0.06062872999843039
10169,127184445933222.84,-0.04341639936498691
1017,119337718556241.45,-0.04543139666473537
10170,70762837844382.69,-0.057905164232744326
10171,162388948585523.97,-0.034376072821787555
10172,48942468781160.555,-0.06350851740528969
10173,524623981746657.44,0.05864393139489591
10174,24456082088298.31,-0.06979648953637892
10175,92272379521317.67,-0.05238162985776466
10176,71074239650484.45,-0.057825197927266134
10177,260759286913796.12,-0.009115100115091715
10178,54417401012200.03,-0.062102584316010595
10179,82737116862064.75,-0.054830233917483914
10180,33591590622575.67,-0.06745054018144168
10181,33384112828409.887,-0.06750381936076276
10182,51796780640359.84,-0.06277554550342414
10183,112343346955882.45,-0.0472275135948972
10184,217757195272548.4,-0.02015780548482806
10185,35679929004337.3,-0.06691426614029747
10186,79330249443522.42,-0.05570509910893964
10187,92169440972799.22,-0.0524080639222274
10188,43812317768451.31,-0.06482591253593173
10189,166073722308528.16,-0.03342984278914766
1019,38764729618356.086,-0.06612210596843465
10190,56852396169369.195,-0.06147729068328037
10191,527179499926979.0,0.05930017469040173
10192,66105567280371.45,-0.05910112621279349
10193,208320652052867.5,-0.02258105892452274
10194,73014157302695.14,-0.0573270375295434
10195,57793347154653.49,-0.061235659541601414
10196,22951672500847.35,-0.0701828138102822
10197,29795995388362.793,-0.06842522858087723
10198,111752622865910.69,-0.04737920835744002
10199,85939506262621.45,-0.05400787757899377
10200,312860061320897.75,0.004264097950726592
10201,146102071972686.72,-0.038558454956341616
10202,41705343484053.68,-0.06536697217643296
10203,22903493350871.45,-0.07019518595633005
10204,125816655351610.77,-0.0437676406145115
10205,13927551522726.09,-0.07250015944113206
10206,101071916396110.6,-0.05012195621423281
10207,97985949071515.22,-0.050914415991083595
10208,77397511943255.52,-0.05620141568234131
10209,50359977406035.7,-0.06314450883021513
1021,277729728008644.03,-0.004757182305691087
10210,36452430341683.695,-0.06671589196033408
10211,58168626802472.39,-0.061139289750645774
10212,193189457393566.72,-0.02646666816206304
10213,72210099530798.05,-0.0575335152318231
10214,108435115015091.12,-0.04823112649351617
10215,5669698256971.168,-0.07462073165331666
10216,68179055885502.95,-0.05856866551425365
10217,124794928269403.48,-0.04403001462253005
10218,17348827173181.81,-0.07162159429337545
10219,6125757545534.198,-0.07450361808598725
1022,384817335612881.1,0.022742338168546383
10220,111155774090657.19,-0.047532475906153636
10221,162933355347027.44,-0.034236272099563876
10222,33241907553622.902,-0.06754033690889963
10223,33187668235824.34,-0.0675542652733825
10224,35238283119717.016,-0.06702767842317676
10225,336819805075533.5,0.010416831013669903
10226,50081087830812.516,-0.06321612617003138
10227,56459566196240.51,-0.06157816730318647
10228,174933547494342.22,-0.031154687432274984
10229,124250217029936.64,-0.044169893533053714
1023,523414023773365.6,0.05833322070853458
10230,90524027670685.97,-0.05283059719010345
10231,78572224109617.81,-0.05589975592923895
10232,117891226989296.8,-0.045802847903127136
10233,90094600791084.64,-0.05294087169834933
10234,100622679657842.28,-0.05023731778741731
10235,598699433306771.6,0.07766610811906009
10236,84553581997544.17,-0.05436377546069905
10237,22282198392853.56,-0.0703547311530226
10238,52753724564244.484,-0.06252980746130803
10239,182742513440022.7,-0.029149387064565897
1024,106571058041956.75,-0.04870980627771023
10240,29400982252064.766,-0.06852666582531886
10241,85179414178657.98,-0.054203065129569246
10242,22333767393233.906,-0.0703414885116608
10243,141129634846935.2,-0.03983535001082645
10245,211151778719400.1,-0.021854040855175262
10246,228921777417138.3,-0.01729080096264179
10247,49859299363760.19,-0.06327308025302103
10248,100455807102971.72,-0.05028016976013305
10249,133931121464790.4,-0.04168388945030993
1025,80157396234852.4,-0.05549269227090997
10250,25698764686762.94,-0.06947737534264559
10251,44466761716325.61,-0.06465785485730359
10252,51173066831029.64,-0.06293571184809708
10253,185794159595588.75,-0.028365740778944732
10254,94597038065715.9,-0.051784670072524665
10255,126842544078379.5,-0.04350419791859913
10256,30771993478700.977,-0.06817459753151003
10257,180836796555896.6,-0.029638764889372695
10258,6075642624501.45,-0.07451648732760947
10259,147604612817884.2,-0.038172610565377275
1026,1678083713481620.5,0.3548461738269048
10260,126057223476618.1,-0.0437058640165737
10261,32517093592207.965,-0.06772646522773934
10262,58494330305872.79,-0.0610556508463816
10263,52037662881522.75,-0.06271368824215054
10264,50476643610192.21,-0.06311454957777099
10265,4847666857933909.0,1.1687780425617795
10266,107808716696443.47,-0.048391982205713426
10267,29828504989112.727,-0.06841688029061813
10268,122979245076462.11,-0.044496272280685485
10269,88953402425202.12,-0.05323392528811419
1027,336957706807843.7,0.010452243435293064
10270,96389229735102.72,-0.05132444491100831
10271,155640335364970.06,-0.03610908032455288
10272,102179774299885.31,-0.049837464275445734
10273,91568933669942.4,-0.05256227096111158
10274,54169682272813.055,-0.062166197153182196
10275,158292581561002.72,-0.035427997795937
10276,79368786162424.5,-0.0556952030872228
10278,33647827322773.91,-0.06743609889992365
10279,25475635596535.57,-0.06953467369044118
1028,393714260532186.8,0.02502702053702727
10280,201276987961141.1,-0.024389833900801298
10281,61196140203544.15,-0.060361840626313036
10282,88158919703808.39,-0.053437944169030256
10283,67019445154119.92,-0.0588664473002439
10284,194102266875155.78,-0.026232263606861796
10285,345026773930293.56,0.012524336383357272
10286,124093443096597.55,-0.04421015223418762
10287,36741026910273.195,-0.06664178191693809
10288,41281626016237.016,-0.06547578053850393
10289,9695619489659.467,-0.07358689677883584
1029,116235571630178.5,-0.04622801127604157
10290,81414572780766.67,-0.05516985610958804
10291,128540906231696.8,-0.04306806767110659
10293,38358818075829.71,-0.06622634186485776
10294,149963146711732.53,-0.037566951772972805
10295,90855195589464.89,-0.052745555053421045
10296,165177421800506.78,-0.033660007928913355
10297,884518716867565.9,0.15106295968810154
10298,26458306977282.613,-0.06928232897606332
10299,69542314448717.125,-0.05821858806262792
1030,1637306763118719.0,0.3443748727448438
10300,95830506419584.53,-0.051467922047142574
10301,81282363361291.39,-0.055203806775954455
10302,38170542552798.484,-0.0662746900044439
10303,471535306394512.5,0.04501104569077367
10304,327399916671332.06,0.007997854440827687
10305,80655037172856.9,-0.055364900760112114
10306,38255669465783.65,-0.06625282987198865
10307,66379980453890.04,-0.059030658388809
10308,55490288949861.88,-0.061827072476047455
10309,186922463453562.3,-0.02807599842931475
1031,802180049720047.2,0.12991883373645388
10310,89346590073913.84,-0.05313295681904609
10312,83280766181161.42,-0.054690627702387994
10313,128763912287313.69,-0.04301080091793587
10314,33927246502312.875,-0.06736434556057347
10315,379981130505953.1,0.02150042676226041
10316,27289604180579.45,-0.06906885633460957
10317,30143257613037.188,-0.0683360535131826
10318,37155791387700.3,-0.06653527263454619
10319,61288863106608.65,-0.06033802988454471
1032,311246750825936.25,0.003849808510706078
10320,92042978573653.0,-0.052440538784747394
10321,332578095601603.2,0.009327582881848734
10323,201906308209084.25,-0.024228227852908974
10324,381386301914316.0,0.021861267206627188
10325,781350044907267.5,0.12456980076576273
10326,115957064145801.25,-0.046299530496987894
10327,247694026295263.4,-0.01247018862550469
10328,167593465405802.0,-0.033039580952563215
10329,382528638091963.0,0.02215461298032083
1033,647490248884329.2,0.09019532659677966
10330,30772552782794.758,-0.06817445390523318
10331,33669633698068.613,-0.06743049914027544
10332,220831933144468.9,-0.01936822937090201
10333,2192582163381133.2,0.4869666028242866
10334,148368124556089.78,-0.037976544866022956
10335,44356835451548.2,-0.0646860833296407
10336,171329751538239.53,-0.03208012281081171
10337,259798181775336.7,-0.009361906734683376
10338,125529217860935.77,-0.043841453012945994
10339,69455833222013.414,-0.05824079597554689
1034,147942013811277.3,-0.038085967808727667
10340,238756527942162.06,-0.014765290033110041
10341,134549118395040.06,-0.04152519116937323
10342,168572434073492.53,-0.032788187074942146
10343,814801748052903.6,0.13316001784252499
10344,414526046613973.6,0.030371375035790973
10345,96606883606505.58,-0.05126855256989765
10346,32097615015091.07,-0.06783418506552451
10347,107383885206488.0,-0.04850107664266552
10348,49408396655224.555,-0.06338886963839127
10349,78380859055337.38,-0.05594889744379857
1035,65796061600314.28,-0.05918060560332278
10350,45999916483692.61,-0.06426414897612266
10351,126916897935850.61,-0.043485104248737506
10352,139540658078380.2,-0.04024339068105464
10353,60357200634871.93,-0.06057727578600594
10354,117195446915298.28,-0.045981520476159124
10355,31191805935847.656,-0.0680667919551327
10356,68278973592430.664,-0.058543007185630304
10357,439891546479101.7,0.0368850986914566
10358,195098650822406.38,-0.025976397579310955
10359,35678782371605.16,-0.0669145605894032
1036,84057567251321.31,-0.0544911493742119
10360,213284863278077.1,-0.021306276236962827
10361,39065770813392.54,-0.06604480021203857
10362,1273113592651870.0,0.25085202942161405
10363,207827487020453.78,-0.02270770104688819
10364,54972721845294.32,-0.06195998091902479
10365,87776310305587.4,-0.053536196200384786
10366,22810856324309.387,-0.07021897464547538
10367,45552327577201.25,-0.06437908739498797
10368,46509707186702.79,-0.06413323747115363
10369,59923926412398.11,-0.06068853827116586
1037,200904594892206.4,-0.02448546243385696
10370,164718402205055.53,-0.03377788168709682
10371,115764864194458.55,-0.04634888640861334
10372,10393969288585.508,-0.07340756431429224
10373,81925171634354.16,-0.05503873707590636
10374,75193166387785.84,-0.05676747974046239
10375,94177655035845.6,-0.05189236537429187
10376,177729813528585.66,-0.03043662138541477
10377,13892962916296.674,-0.07250904160884464
10378,10762692826797.055,-0.073312878096949
10379,178410855077112.6,-0.030261733586289245
1038,59508649010858.55,-0.060795179269705395
10380,184419365862983.28,-0.028718780399900293
10381,35077606501304.51,-0.06706893931280365
10382,52397581829821.055,-0.06262126299604388
10383,142691019308424.72,-0.039434394896341395
10384,57963622314858.28,-0.061191933798174496
10386,64170782830921.61,-0.0595979684317131
10387,1687632328848641.2,0.3572982067900132
10388,85845652839428.92,-0.05403197863223793
10389,155133183394326.38,-0.03623931421727189
1039,187074437340265.16,-0.02803697235428673
10390,36970291198076.03,-0.06658290808347132
10391,275699080680343.44,-0.005278641595237754
10392,70706867598078.92,-0.05791953709033833
10393,102060977896715.73,-0.04986797055151552
10394,13956775895091.61,-0.07249265477981602
10395,42456839218481.02,-0.06517399212208753
10396,61494920328252.43,-0.06028511550059097
10397,11120746375581.7,-0.0732209318753837
10398,28338067715428.887,-0.0687996165496511
10399,257789158803958.78,-0.009877813005918763
1040,78513051584854.22,-0.05591495111468247
10400,91146770217553.11,-0.05267068026039631
10401,21923624925958.086,-0.07044681088675661
10402,132235636795940.92,-0.04211928077529959
10403,123111003512966.67,-0.044462437424315354
10404,27466275511912.16,-0.06902348808890976
10405,183854971705822.5,-0.028863713777604855
10406,274674278509461.28,-0.005541805269454544
10408,124676736022182.42,-0.04406036575460841
10409,97033988739349.97,-0.05115887427370568
1041,805468476509949.5,0.13076328401282153
10410,71409471833210.28,-0.05773911210950688
10411,95074722750664.27,-0.051662003219955566
10412,307515718046907.4,0.0028916994017964856
10414,155824371300511.88,-0.036061820888184375
10416,122553164093336.88,-0.04460568758074932
10417,99655578757958.61,-0.050485664086228
10418,72354955390386.75,-0.05749631702779473
10419,150785952676763.97,-0.03735565963574131
1042,779361032019516.6,0.12405903297615657
10420,80371272012176.83,-0.055437770123996276
10421,210871304867279.44,-0.021926065028760173
10422,158882776872501.0,-0.035276438820856265
10423,159141763522092.12,-0.035209932445073686
10424,154890054349554.22,-0.03630174844560299
10425,276853860591677.06,-0.0049821003378000385
10426,23620654208691.56,-0.07001102291324637
10427,56608782195528.33,-0.06153984943878274
10428,20588192525540.125,-0.07078974272974795
10429,104955816438032.0,-0.049124591616104614
1043,386712439954347.25,0.023228990749595377
10430,61753223542861.05,-0.060218784627228454
10431,21886906622697.785,-0.07045623994913718
10432,98936583986892.45,-0.05067029806834922
10433,77973665499609.22,-0.056053462554302366
10434,191950261255849.6,-0.026784887051467008
10435,427718609597131.7,0.033759154107331914
