insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10002,Curfew 8pm,48719614602815.66,-0.10733468794295531
10003,Curfew 8pm,26198953509446.08,-0.118215258160842
10004,Curfew 8pm,55748546370605.555,-0.1039387491941284
10005,Curfew 8pm,91074101332083.56,-0.086871657795229
10006,Curfew 8pm,73443977469122.4,-0.09538942731565683
10007,Curfew 8pm,37945098305633.59,-0.1125402580924821
10008,Curfew 8pm,58565117792231.625,-0.10257795862942701
10009,Curfew 8pm,118072255653233.16,-0.07382784382250798
1001,Curfew 8pm,144893852979583.4,-0.06086933111032319
10010,Curfew 8pm,37002701909129.0,-0.11299556489376736
10011,Curfew 8pm,25059630459987.68,-0.11876570756324156
10012,Curfew 8pm,63964243558789.25,-0.09996943986638203
10013,Curfew 8pm,146985935339333.88,-0.05985856819699251
10014,Curfew 8pm,81622919740160.03,-0.09143787565742124
10015,Curfew 8pm,52340687214061.56,-0.10558521288769919
10017,Curfew 8pm,202306087925642.3,-0.03313134193200748
10018,Curfew 8pm,36047937757629.3,-0.11345684701816164
10019,Curfew 8pm,31326192170385.574,-0.11573809818570076
1002,Curfew 8pm,275221158719608.2,0.0020966446899971375
10020,Curfew 8pm,114930702167305.6,-0.07534564532732017
10021,Curfew 8pm,33888682895688.805,-0.11450006346932408
10022,Curfew 8pm,131243797825007.0,-0.0674641811891746
10023,Curfew 8pm,77838738419603.47,-0.09326615460557579
10024,Curfew 8pm,68755129577242.66,-0.09765478438120087
10025,Curfew 8pm,26351786295570.266,-0.11814141894918985
10026,Curfew 8pm,100832099619738.58,-0.08215720535910105
10027,Curfew 8pm,17533668875847.506,-0.12240177992958358
10028,Curfew 8pm,5297073103219.148,-0.12831373513285144
10029,Curfew 8pm,134367473693707.72,-0.06595501702714551
10030,Curfew 8pm,236286028959114.2,-0.01671436674280263
10031,Curfew 8pm,96455254994161.6,-0.08427182202527836
10032,Curfew 8pm,114818436869801.45,-0.07539988487417279
10033,Curfew 8pm,118846787150189.56,-0.07345363880678223
10034,Curfew 8pm,76243545453207.69,-0.09403685174497096
10035,Curfew 8pm,38929902661392.92,-0.11206446242648031
10037,Curfew 8pm,49817773716415.125,-0.10680412637123267
10038,Curfew 8pm,74950435781860.84,-0.09466160119260864
10039,Curfew 8pm,65167006489535.7,-0.09938834029434013
1004,Curfew 8pm,323379575552342.6,0.02536376965397492
10040,Curfew 8pm,34748835926248.46,-0.11408449150150614
10041,Curfew 8pm,89670665281310.23,-0.08754971002617565
10042,Curfew 8pm,18111230103039.18,-0.12212273858787812
10043,Curfew 8pm,53572343478981.375,-0.10499015386970678
10044,Curfew 8pm,353543462561522.3,0.03993706700466443
10045,Curfew 8pm,27063756744052.62,-0.11779743950623942
10046,Curfew 8pm,349879381977744.6,0.03816681319592851
10047,Curfew 8pm,272488011231603.8,0.0007761593349811806
10048,Curfew 8pm,14618810321063.773,-0.12381005666928682
10049,Curfew 8pm,303628790493122.75,0.01582142971980227
1005,Curfew 8pm,110011321382396.55,-0.07772238142031541
10050,Curfew 8pm,63087487799186.22,-0.10039303323101492
10051,Curfew 8pm,49289238215034.01,-0.10705948155870167
10052,Curfew 8pm,69436135218381.75,-0.097325765190047
10053,Curfew 8pm,135052817023056.56,-0.06562390213724845
10054,Curfew 8pm,84809371088843.16,-0.08989838232276802
10055,Curfew 8pm,41491720389349.81,-0.11082675286018928
10056,Curfew 8pm,141940818934567.56,-0.06229605185130821
10057,Curfew 8pm,423947768616340.75,0.0739520096608802
10058,Curfew 8pm,24753871434916.75,-0.11891343113708534
10059,Curfew 8pm,129170400062258.0,-0.0684659168777349
1006,Curfew 8pm,188751756443661.5,-0.03967994433913771
10060,Curfew 8pm,335963461499808.56,0.031443513676480184
10061,Curfew 8pm,104217641932303.98,-0.08052152376410827
10062,Curfew 8pm,63696973558186.625,-0.10009856795887606
10063,Curfew 8pm,77694511626364.94,-0.0933358359415111
10064,Curfew 8pm,59105223690256.266,-0.10231701335236842
10065,Curfew 8pm,214138985416005.38,-0.02741442840574977
10066,Curfew 8pm,98763694665564.9,-0.08315652883586777
10067,Curfew 8pm,393047509972831.75,0.05902294374546863
10068,Curfew 8pm,194534836956059.44,-0.03688592273693158
10069,Curfew 8pm,88716707870644.73,-0.08801060238402367
1007,Curfew 8pm,157389122702165.75,-0.054832400886813105
10070,Curfew 8pm,150465291200899.75,-0.058177561782135144
10071,Curfew 8pm,56943256097864.945,-0.10336154042465472
10072,Curfew 8pm,21802144583209.312,-0.12033952032429307
10073,Curfew 8pm,326223805724846.06,0.02673792319145108
10074,Curfew 8pm,35235339223402.51,-0.11384944363750377
10075,Curfew 8pm,72533196636828.72,-0.09582945946026356
10076,Curfew 8pm,13793071121256.307,-0.12420900203363103
10077,Curfew 8pm,174446124695369.03,-0.04659152788915844
10078,Curfew 8pm,110306741243632.5,-0.0775796530816308
10079,Curfew 8pm,37503934576456.38,-0.11275340072239852
1008,Curfew 8pm,614501892547238.5,0.16601580464194468
10080,Curfew 8pm,12892015087412.434,-0.12464433576587991
10081,Curfew 8pm,757768017456394.9,0.23523300592461652
10082,Curfew 8pm,66489226740570.11,-0.09874952644135215
10083,Curfew 8pm,134742573576547.5,-0.06577379230212353
10084,Curfew 8pm,40939312189672.2,-0.11109364183740933
10085,Curfew 8pm,551886895506517.1,0.1357641673045791
10086,Curfew 8pm,54487937863726.86,-0.10454779611861664
10087,Curfew 8pm,22082716383173.902,-0.12020396563706534
10089,Curfew 8pm,48393808264053.625,-0.10749209712076034
1009,Curfew 8pm,166852716533269.3,-0.050260186209545164
10090,Curfew 8pm,97595194605880.83,-0.08372107473868502
10091,Curfew 8pm,48656396513792.54,-0.1073652309564932
10092,Curfew 8pm,70726950069830.33,-0.09670212445537905
10093,Curfew 8pm,108762699166105.94,-0.07832563732135836
10094,Curfew 8pm,22431069324294.3,-0.12003566335585104
10095,Curfew 8pm,57250895403998.76,-0.10321290841699325
10096,Curfew 8pm,56629384970720.75,-0.10351318325716752
10097,Curfew 8pm,84951733700537.06,-0.08982960164237347
10098,Curfew 8pm,5577970507184.77,-0.1281780231342028
10099,Curfew 8pm,14119239710707.715,-0.12405141783902494
1010,Curfew 8pm,68739946945275.45,-0.09766211967622293
10100,Curfew 8pm,120032300403710.47,-0.07288087319631943
10101,Curfew 8pm,185985222868880.8,-0.04101655975623151
10102,Curfew 8pm,28806264911461.836,-0.11695556890607667
10103,Curfew 8pm,29266974110633.88,-0.1167329831315812
10104,Curfew 8pm,282515599212525.6,0.005620860593532539
10105,Curfew 8pm,263537090756988.5,-0.003548363747844519
10106,Curfew 8pm,214292768216636.62,-0.027340130206703377
10107,Curfew 8pm,251144158504078.66,-0.009535850927916582
10108,Curfew 8pm,37525383140441.31,-0.11274303812222691
10109,Curfew 8pm,171054952973784.84,-0.048229929261330934
1011,Curfew 8pm,155861063682948.06,-0.05557066311573888
10110,Curfew 8pm,122781201540437.78,-0.07155277666681764
10111,Curfew 8pm,108360859705008.56,-0.07851978093262539
10112,Curfew 8pm,53381119472212.17,-0.10508254131003865
10113,Curfew 8pm,145485178131101.78,-0.060583639904100456
10114,Curfew 8pm,108637042881969.78,-0.07838634655263686
10115,Curfew 8pm,209465532343181.2,-0.029672347660785883
10116,Curfew 8pm,227825094117561.75,-0.02080215951543926
10117,Curfew 8pm,154309021851936.22,-0.0563205123343479
10118,Curfew 8pm,127718774235136.4,-0.06916725138459556
10119,Curfew 8pm,12934952561719.78,-0.12462359107271824
1012,Curfew 8pm,65203809937147.31,-0.09937055917795379
10120,Curfew 8pm,38804030672210.72,-0.1121252758729011
10121,Curfew 8pm,22079885596498.586,-0.12020533329554858
10122,Curfew 8pm,75110325435696.72,-0.09458435254531261
10123,Curfew 8pm,97901060474852.22,-0.08357329954457324
10124,Curfew 8pm,60004843209949.375,-0.10188237365361268
10125,Curfew 8pm,80545428795019.81,-0.0919584516671187
10126,Curfew 8pm,77776498727068.9,-0.09329622491932699
10127,Curfew 8pm,80666828935179.22,-0.0918997987375271
10128,Curfew 8pm,55455844713346.86,-0.10408016426722466
10129,Curfew 8pm,76847391494229.4,-0.09374511123065436
1013,Curfew 8pm,21050304148340.195,-0.12070276244273374
10130,Curfew 8pm,69100413488908.69,-0.0974879648624304
10131,Curfew 8pm,61335543531387.98,-0.101239462762749
10132,Curfew 8pm,55650374961012.65,-0.10398617945876566
10133,Curfew 8pm,22037286757035.11,-0.12022591438160378
10134,Curfew 8pm,92917815166761.58,-0.08598089096752654
10135,Curfew 8pm,41833327596448.78,-0.11066170969434408
10136,Curfew 8pm,60575884591313.17,-0.10160648229227616
10137,Curfew 8pm,20448766406548.383,-0.12099338773171346
10138,Curfew 8pm,284963555508823.94,0.006803559461108562
10139,Curfew 8pm,34873056720328.75,-0.11402447580894239
1014,Curfew 8pm,180856373583119.3,-0.04349449788421638
10140,Curfew 8pm,24521917818473.91,-0.11902549656893636
10141,Curfew 8pm,24234411166700.12,-0.11916440174138067
10142,Curfew 8pm,44286444170481.09,-0.1094765177043861
10143,Curfew 8pm,9576730861652.945,-0.12624607306218194
10144,Curfew 8pm,101192244048167.0,-0.08198320617116203
10145,Curfew 8pm,3126672931709.336,-0.12936233629820437
10146,Curfew 8pm,179372808291920.78,-0.04421126353584539
10147,Curfew 8pm,1499187942595224.5,0.5934405879741675
10148,Curfew 8pm,30930125249011.65,-0.11592945286801334
10149,Curfew 8pm,80473141633762.12,-0.09199337628725553
1015,Curfew 8pm,124123607540726.33,-0.07090421032649151
10150,Curfew 8pm,276151108287525.56,0.0025459379647757084
10151,Curfew 8pm,34043679430434.63,-0.11442517887011808
10153,Curfew 8pm,171629442096043.34,-0.04795237216794765
10154,Curfew 8pm,68223008899380.93,-0.09791187170096737
10155,Curfew 8pm,24339099261308.773,-0.11911382302348052
10156,Curfew 8pm,79747812191525.81,-0.09234380995768078
10157,Curfew 8pm,154114076856148.44,-0.05641469752307307
10158,Curfew 8pm,89857778948323.62,-0.08745930844408067
10159,Curfew 8pm,29312901740721.883,-0.11671079378278536
1016,Curfew 8pm,227003412298583.56,-0.021199144607976585
10160,Curfew 8pm,1795583047181.845,-0.1300054354015066
10161,Curfew 8pm,31002668697303.656,-0.11589440442606413
10162,Curfew 8pm,214746100679965.3,-0.02712110840806055
10163,Curfew 8pm,18486984068756.125,-0.12194119785105506
10164,Curfew 8pm,192615814586240.88,-0.03781307392303302
10165,Curfew 8pm,106681675011502.33,-0.07933105760388946
10166,Curfew 8pm,124709130216603.16,-0.07062132251238029
10167,Curfew 8pm,171268220642076.7,-0.04812689170704095
10168,Curfew 8pm,451681510853123.9,0.0873512135546296
10169,Curfew 8pm,114506713748955.95,-0.07555048992483433
1017,Curfew 8pm,112334412767701.55,-0.07660000944217572
10170,Curfew 8pm,63203597784493.47,-0.10033693617227869
10171,Curfew 8pm,144368721983632.7,-0.06112304145440864
10172,Curfew 8pm,42034119275804.945,-0.11056469975501129
10173,Curfew 8pm,500464991625496.9,0.11092033019006452
10174,Curfew 8pm,26135237712642.746,-0.11824604163554697
10175,Curfew 8pm,97749831270210.1,-0.08364636400628161
10176,Curfew 8pm,62164315817765.06,-0.1008390520013074
10177,Curfew 8pm,236188491514583.72,-0.016761490715304462
10178,Curfew 8pm,46849157871783.47,-0.10823837525999888
